file_id,file_name,source,source_url,license,label,category,event_type,duration_seconds,sample_rate,channels,file_format,quality_rating,usable_for_training,has_url,category_display
zapsplat_ac5add33af,ftus_SingleSound_Letting+Air+Out+Of+Tire.mp3,ZapSplat,https://www.zapsplat.com/music/air-being-let-out-of-car-tyre/,ZapSplat Standard License — attribution required,air_leak,air_leak,air_being_let_out_of_car_tyre,,,,mp3,,True,True,Air leak
zapsplat_6da8446499,zapsplat_foley_balloon_deflate_puncture_air_hiss_60367.mp3,ZapSplat,https://www.zapsplat.com/music/balloon-deflate-puncture-air-hiss/,ZapSplat Standard License — attribution required,air_leak,air_leak,balloon_deflate_puncture_air_hiss,,,,mp3,,True,True,Air leak
zapsplat_0f11176af2,lilesound_6_Bicycles_2C_Valve_2C_Air_Release.mp3,ZapSplat,https://www.zapsplat.com/music/bicycle-valve-air-release/,ZapSplat Standard License — attribution required,air_leak,air_leak,bicycle_valve_air_release,,,,mp3,,True,True,Air leak
zapsplat_302f2403b2,zapsplat_foley_liquid_bubbles_small_hissing_air_puncture_leak_88662.mp3,ZapSplat,https://www.zapsplat.com/music/bubbles-in-water-with-hissing-air-could-be-a-puncture-or-leak/,ZapSplat Standard License — attribution required,air_leak,air_leak,bubbles_water_hissing_air_puncture_leak,,,,mp3,,True,True,Air leak
zapsplat_c7ade07bb5,zapsplat_transport_car_tyre_puncture_fast.mp3,ZapSplat,https://www.zapsplat.com/music/car-tyre-puncture-fast/,ZapSplat Standard License — attribution required,air_leak,air_leak,car_tyre_puncture_fast,,,,mp3,,True,True,Air leak
zapsplat_6015b83d5f,transport_car_tyre_puncture_fast.mp3,ZapSplat,https://www.zapsplat.com/music/car-van-or-truck-tyre-puncture-fast-big/,ZapSplat Standard License — attribution required,air_leak,air_leak,car_van_truck_tyre_puncture_fast_big,,,,mp3,,True,True,Air leak
zapsplat_794ad9fd38,zapsplat_industrial_gas_cannister_air_release_short_then_med_burst.mp3,ZapSplat,https://www.zapsplat.com/music/gas-cannister-air-release-medium-burst/,ZapSplat Standard License — attribution required,air_leak,air_leak,gas_cannister_air_release_medium_burst,,,,mp3,,True,True,Air leak
zapsplat_9a6b559198,zapsplat_industrial_gas_cannister_air_release_short_test_burst.mp3,ZapSplat,https://www.zapsplat.com/music/gas-cannister-air-release-short-test-burst/,ZapSplat Standard License — attribution required,air_leak,air_leak,gas_cannister_air_release_short_test_burst,,,,mp3,,True,True,Air leak
zapsplat_ab066151b7,zapsplat_industrial_gas_cannister_air_release_med_burst.mp3,ZapSplat,https://www.zapsplat.com/music/gas-cannister-air-release-short-then-medium-burst/,ZapSplat Standard License — attribution required,air_leak,air_leak,gas_cannister_air_release_short_then_medium_burst,,,,mp3,,True,True,Air leak
zapsplat_28f63e71a9,zapsplat_vehicles_boat_dinghy_puncture_small_bubbles_46166.mp3,ZapSplat,https://www.zapsplat.com/music/inflatable-boat-dinghy-small-puncture-air-hiss-into-water-with-small-bubbles/,ZapSplat Standard License — attribution required,air_leak,air_leak,inflatable_boat_small_puncture_air_hiss_bubbles,,,,mp3,,True,True,Air leak
